gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3455768798	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61559031/original.jpeg	https://www.inaturalist.org/photos/61559031					2018-07-13T22:11:40Z	Aurélien Bour		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Aurélien Bour
3455768798	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61558438/original.jpeg	https://www.inaturalist.org/photos/61558438					2018-07-13T22:11:45Z	Aurélien Bour		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Aurélien Bour
3455710661	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/57163924/original.jpg	https://www.inaturalist.org/photos/57163924					2019-06-22T16:55:32Z	Ehoarn Bidault		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ehoarn Bidault
3455710661	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/57163906/original.jpg	https://www.inaturalist.org/photos/57163906					2019-06-22T16:53:29Z	Ehoarn Bidault		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ehoarn Bidault
3455710661	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/57163914/original.jpg	https://www.inaturalist.org/photos/57163914					2019-06-22T16:55:23Z	Ehoarn Bidault		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ehoarn Bidault
3455710661	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/57163904/original.jpg	https://www.inaturalist.org/photos/57163904					2019-06-22T16:53:55Z	Ehoarn Bidault		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ehoarn Bidault
3455710661	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/57163921/original.jpg	https://www.inaturalist.org/photos/57163921					2019-06-22T16:55:41Z	Ehoarn Bidault		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ehoarn Bidault
3455710661	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/57163922/original.jpg	https://www.inaturalist.org/photos/57163922					2019-06-22T16:53:57Z	Ehoarn Bidault		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ehoarn Bidault
3455710661	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/57163927/original.jpg	https://www.inaturalist.org/photos/57163927					2019-06-22T16:55:54Z	Ehoarn Bidault		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ehoarn Bidault
3455587695	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172475092/original.jpeg	https://www.inaturalist.org/photos/172475092					2021-09-01T21:25:51Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455526014	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172473112/original.jpeg	https://www.inaturalist.org/photos/172473112					2021-09-01T22:18:01Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455526014	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172473053/original.jpeg	https://www.inaturalist.org/photos/172473053					2021-09-01T22:17:59Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455466823	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172465777/original.jpeg	https://www.inaturalist.org/photos/172465777					2021-09-08T01:51:27Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455466823	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172465757/original.jpeg	https://www.inaturalist.org/photos/172465757					2021-09-08T01:51:25Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455451718	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172467002/original.jpeg	https://www.inaturalist.org/photos/172467002					2021-09-04T02:26:55Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455451718	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172467018/original.jpeg	https://www.inaturalist.org/photos/172467018					2021-09-04T02:27:00Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455190747	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61560144/original.jpeg	https://www.inaturalist.org/photos/61560144					2018-07-16T20:04:03Z	Aurélien Bour		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Aurélien Bour
3455190747	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61560340/original.jpeg	https://www.inaturalist.org/photos/61560340					2018-07-16T20:04:44Z	Aurélien Bour		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Aurélien Bour
3455190747	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61560327/original.jpeg	https://www.inaturalist.org/photos/61560327					2018-07-16T20:04:13Z	Aurélien Bour		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Aurélien Bour
3384601907	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/145547405/original.jpg	https://www.inaturalist.org/photos/145547405					2021-07-17T13:19:29Z	zentakiwi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	zentakiwi
3384331374	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/44726451/original.jpeg	https://www.inaturalist.org/photos/44726451					2019-06-28T20:39:00Z	Donna Pomeroy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Donna Pomeroy
3383932419	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/63482578/original.jpg	https://www.inaturalist.org/photos/63482578					2017-07-22T14:45:02Z	William Stephens		iNaturalist	http://creativecommons.org/licenses/by/4.0/	William Stephens
3383875429	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/63482678/original.jpg	https://www.inaturalist.org/photos/63482678					2017-07-22T15:10:56Z	William Stephens		iNaturalist	http://creativecommons.org/licenses/by/4.0/	William Stephens
3383875429	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/63482659/original.jpg	https://www.inaturalist.org/photos/63482659					2017-07-22T15:10:55Z	William Stephens		iNaturalist	http://creativecommons.org/licenses/by/4.0/	William Stephens
3383860418	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/63482896/original.jpg	https://www.inaturalist.org/photos/63482896					2017-07-22T15:21:17Z	William Stephens		iNaturalist	http://creativecommons.org/licenses/by/4.0/	William Stephens
3382533340	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/06f42e03-d04e-407f-97af-ed6840d71a26_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Maria D
3382530524	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/bfb720b9-a3c0-429c-b2aa-fef7a90e31bc_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Maria D
3382530524	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/0da194ef-d838-4ba8-9198-9dc55530898c_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Maria D
3382507384	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/bf7204c2-7b6a-4411-a249-f4d6f203779b_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Maria D
3382507384	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/c718169e-62c7-422f-b888-0e8f34e0d4f0_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Maria D
3382504473	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/e1d528ad-8126-4e4a-a481-39c3701025e1_image.jpg										© All rights reserved	Maria D
3382466349	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/b77b9d8e-5e3d-4ef8-99a4-7d0a848470cf_image.jpg										© All rights reserved	Maria D
3382444445	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/daf5ea57-fdf4-4f0b-8da8-7556e45b2450_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Maria D
3382400522	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/fdac9783-4f50-452b-a9c5-adbf228bc395_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Maria D
3382341432	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/23728844-fe0d-4105-bc1a-ebb9c43ee647_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Maria D
3382337367	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/10/f8193260-4659-498b-8ac7-b7679f139240_image.jpg										© All rights reserved	Maria D
3353354426	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/8dda1481-100c-45dc-b60c-10d037cb2e03_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353349383	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/bcd5d80f-558a-45a7-8f0c-2c26bf8e0dd3_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353349383	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/b2697a52-21a5-4b29-ab25-a8e8e15e2d94_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353338409	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/1065bb08-a665-4498-b33c-07d892613e50_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353332431	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/537810b8-5c46-4551-a1d0-5273b987c64f_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353327379	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/fe5582fb-1cdf-4bce-b92d-8a5cf25acfd5_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353322334	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/6ca6d9e8-fa51-4132-9ff4-e754e7a4f0f5_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353314399	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/b6a3d7c7-7865-4a9e-b84c-20dcb114178d_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353299365	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/f89a6ca0-e2ff-44b5-a05d-401294618749_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353294466	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/6447d56b-3cb4-414d-bcf6-eb3e7e5688cd_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353294466	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/eefa1f16-daad-45d2-957c-9b19ad31307a_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353294466	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/78d39586-a5ff-4c58-ab20-02f671186c34_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353289302	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/43c2b1f2-72a7-455b-8597-5a02db1c9119_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353287421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/9de0edff-5efe-4885-999d-588b40390eef_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353287421	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/ecba628a-ed72-43c0-9cc3-bb7dd5337308_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353285420	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/70d3d6f3-f5e0-42d1-b4f9-37fd9f2ae93c_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353282311	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/1b8b96fb-9f8e-4a1e-8811-18f654331227_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353282311	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/62334708-9a28-4c8f-b6a3-e7aeb67e4432_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353282311	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/fa3eea28-ba41-4c57-9996-c833bab2f490_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
3353259354	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/9/1dc9839f-8f9e-4de7-bcb1-fe0891aac42f_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Line Klausen
